epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7618,3.00457,3.83957,1.50179,0.0131,0.17173,0.00802,0.00232,2.6755,3.68886,1.25638,0.00012,0.00012,0.00012
2,76.2338,2.48497,2.88351,1.16918,0.03634,0.47623,0.03421,0.0123,2.17899,3.30851,1.07627,0.000254852,0.000254852,0.000254852
3,112.549,2.39167,1.83284,1.09112,0.04412,0.57816,0.05565,0.02287,2.11547,2.94854,1.07112,0.00038416,0.00038416,0.00038416
4,147.608,2.20887,1.66977,1.04144,0.0568,0.74433,0.19155,0.08762,1.99353,2.71879,1.0466,0.000507924,0.000507924,0.000507924
5,182.602,2.14496,1.54756,1.05245,0.05899,0.77302,0.25909,0.10509,1.97613,2.47779,1.04234,0.000626144,0.000626144,0.000626144
6,218.812,2.01973,1.3968,1.032,0.06209,0.8137,0.45122,0.19591,1.85812,2.37478,1.01686,0.00073882,0.00073882,0.00073882
7,254.378,2.01057,1.3216,1.02628,0.05958,0.78073,0.2716,0.10801,1.89761,2.5069,1.01778,0.000845952,0.000845952,0.000845952
8,290.391,1.96672,1.31539,1.02989,0.40556,0.57559,0.34392,0.14491,1.80172,2.33036,1.00053,0.00094754,0.00094754,0.00094754
9,329.043,2.00988,1.29222,1.01853,0.49741,0.37473,0.37068,0.14794,1.85599,2.17216,1.0082,0.00104358,0.00104358,0.00104358
10,368.878,2.04084,1.31973,1.02996,0.68582,0.33662,0.46103,0.16655,1.94934,2.11177,1.01558,0.00113408,0.00113408,0.00113408
11,407.16,1.89574,1.2869,1.02736,0.65132,0.4848,0.55206,0.23653,1.82404,1.85106,0.99396,0.00121904,0.00121904,0.00121904
12,446.538,2.00987,1.27721,1.02345,0.66157,0.4788,0.56581,0.21084,1.97208,1.81515,1.01008,0.00129845,0.00129845,0.00129845
13,485.598,1.93389,1.26534,1.01039,0.67697,0.49079,0.57707,0.22033,1.97724,1.72569,1.0143,0.00137232,0.00137232,0.00137232
14,524.92,1.93383,1.2817,1.00372,0.66093,0.59438,0.64212,0.28794,1.7132,1.48222,0.97686,0.00144064,0.00144064,0.00144064
15,564.506,1.84724,1.21809,0.98391,0.72442,0.52805,0.63218,0.27758,1.82912,1.55657,0.98247,0.0014456,0.0014456,0.0014456
16,603.59,1.84036,1.16301,0.98841,0.69141,0.5834,0.65218,0.30841,1.71633,1.45299,0.94893,0.001406,0.001406,0.001406
17,642.754,1.82494,1.14557,0.97483,0.7099,0.63212,0.66706,0.31288,1.70233,1.34865,0.94595,0.0013664,0.0013664,0.0013664
18,679.069,1.75263,1.10639,0.95413,0.67826,0.64281,0.6688,0.30573,1.71483,1.24905,0.94801,0.0013268,0.0013268,0.0013268
19,715.069,1.76074,1.1207,0.96078,0.71683,0.63126,0.69372,0.32905,1.6798,1.21104,0.95119,0.0012872,0.0012872,0.0012872
20,754.041,1.78998,1.10697,0.98148,0.72677,0.63555,0.69427,0.32177,1.73355,1.17737,0.9643,0.0012476,0.0012476,0.0012476
21,793.161,1.74843,1.14013,0.94986,0.72876,0.64839,0.71443,0.3411,1.70478,1.19074,0.94918,0.001208,0.001208,0.001208
22,831.466,1.87415,1.14188,0.97,0.69123,0.63555,0.6845,0.26911,1.92514,1.22041,0.98405,0.0011684,0.0011684,0.0011684
23,872.31,1.79718,1.10301,0.95179,0.71982,0.70087,0.73933,0.34534,1.63987,1.07729,0.94607,0.0011288,0.0011288,0.0011288
24,911.977,1.8081,1.08964,0.96249,0.73559,0.6848,0.7357,0.35047,1.68286,1.07862,0.95924,0.0010892,0.0010892,0.0010892
25,948.845,1.77407,1.04865,0.98694,0.7337,0.69636,0.73729,0.35933,1.62598,1.03838,0.94869,0.0010496,0.0010496,0.0010496
26,982.384,1.75605,1.05581,0.95681,0.75645,0.72095,0.76479,0.36602,1.58084,0.98227,0.93811,0.00101,0.00101,0.00101
27,1017.22,1.74933,1.03863,0.94257,0.75036,0.71006,0.76005,0.32106,1.81172,1.02657,0.98022,0.0009704,0.0009704,0.0009704
28,1051.5,1.85252,1.07504,1.00071,0.76486,0.70749,0.76778,0.36492,1.67562,1.01849,0.96161,0.0009308,0.0009308,0.0009308
29,1085.52,1.71109,1.01838,0.97078,0.75922,0.72548,0.77768,0.40193,1.52664,0.97626,0.93366,0.0008912,0.0008912,0.0008912
30,1118.31,1.76554,1.05973,0.98768,0.75493,0.71768,0.76952,0.38073,1.63068,0.99148,0.9454,0.0008516,0.0008516,0.0008516
31,1151.25,1.80158,1.03946,0.95677,0.7279,0.70345,0.74397,0.31802,1.80826,1.02227,0.97364,0.000812,0.000812,0.000812
32,1184.4,1.72961,1.00703,0.94991,0.74406,0.75075,0.78203,0.38259,1.56853,0.94628,0.93799,0.0007724,0.0007724,0.0007724
33,1217.25,1.67359,0.96371,0.94156,0.75284,0.75007,0.78755,0.39994,1.52483,0.93667,0.93048,0.0007328,0.0007328,0.0007328
34,1250.38,1.75993,1.0825,0.96391,0.75181,0.73576,0.77687,0.39433,1.54378,0.94028,0.93191,0.0006932,0.0006932,0.0006932
35,1283.35,1.68151,1.00298,0.9275,0.76516,0.73919,0.7862,0.40719,1.50095,0.92195,0.92195,0.0006536,0.0006536,0.0006536
36,1316.85,1.59236,0.97097,0.93459,0.76216,0.74433,0.79023,0.40758,1.49919,0.90742,0.92137,0.000614,0.000614,0.000614
37,1350.03,1.6454,0.96315,0.94067,0.76379,0.74261,0.7889,0.40499,1.49707,0.90865,0.92253,0.0005744,0.0005744,0.0005744
38,1382.98,1.62898,0.96902,0.93333,0.77088,0.74861,0.80233,0.41864,1.47706,0.90295,0.92058,0.0005348,0.0005348,0.0005348
39,1415.96,1.61695,1.00108,0.93673,0.76545,0.76453,0.80689,0.42538,1.45191,0.87759,0.91698,0.0004952,0.0004952,0.0004952
40,1453.28,1.64385,0.97263,0.93459,0.75804,0.76874,0.81298,0.41946,1.4893,0.88947,0.92308,0.0004556,0.0004556,0.0004556
41,1490.3,1.67825,1.02274,0.96432,0.76096,0.76209,0.81196,0.41365,1.48992,0.89703,0.92321,0.000416,0.000416,0.000416
42,1526.65,1.63556,0.9818,0.96282,0.77012,0.76488,0.81547,0.42264,1.4735,0.89999,0.91894,0.0003764,0.0003764,0.0003764
43,1564.9,1.66316,0.9842,0.95748,0.77253,0.74325,0.80645,0.43083,1.45897,0.9281,0.91531,0.0003368,0.0003368,0.0003368
44,1602.2,1.64805,0.9701,0.95388,0.76106,0.71906,0.78326,0.3951,1.60223,0.97394,0.93777,0.0002972,0.0002972,0.0002972
45,1638.28,1.62038,0.96897,0.95924,0.76559,0.72334,0.78204,0.39072,1.62378,0.96419,0.94229,0.0002576,0.0002576,0.0002576
46,1673.87,1.5568,0.92555,0.93221,0.77785,0.74946,0.80445,0.42121,1.51625,0.90217,0.92618,0.000218,0.000218,0.000218
